Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
The Lost Symbol,#1,Dan Brown,4.3 out of 5 stars,"13,920",Hardcover,$12.95 
The Shack: Where Tragedy Confronts Eternity,#2,William P. Young,4.7 out of 5 stars,"22,653",Paperback,$10.43 
"Breaking Dawn (The Twilight Saga, Book 4)",#4,Stephenie Meyer,4.7 out of 5 stars,"15,236",Hardcover,$16.29 
Liberty and Tyranny: A Conservative Manifesto,#3,Mark R. Levin,4.8 out of 5 stars,"4,881",Hardcover,$17.00 
Going Rogue: An American Life,#5,Sarah Palin,4.6 out of 5 stars,"1,574",Hardcover,$11.00 
StrengthsFinder 2.0,#6,Tom Rath,4.1 out of 5 stars,"6,511",Hardcover,$20.88 
The Help,#7,Kathryn Stockett,4.8 out of 5 stars,"16,750",Hardcover,$16.14 
New Moon (The Twilight Saga),#8,Stephenie Meyer,4.7 out of 5 stars,"10,434",Paperback,$14.49 
The Twilight Saga Collection,#9,Stephenie Meyer,4.7 out of 5 stars,"5,462",Hardcover,$66.14 
Outliers: The Story of Success,#10,Malcolm Gladwell,4.7 out of 5 stars,"19,701",Hardcover,$16.64 
Eclipse (Twilight),#11,Stephenie Meyer,4.7 out of 5 stars,"11,107",Hardcover,$18.73 
"Twilight (The Twilight Saga, Book 1)",#12,Stephenie Meyer,4.7 out of 5 stars,"19,474",Paperback,$15.29 
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",#13,Glenn Beck,4.5 out of 5 stars,"1,399",Paperback,$8.11 
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,#14,Greg Mortenson,4.4 out of 5 stars,"3,383",Paperback,$12.44 
The Love Dare,#15,Stephen Kendrick,4.8 out of 5 stars,"3,089",Paperback,$11.29 
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",#16,Steve Harvey,4.6 out of 5 stars,"6,679",Hardcover,$19.00 
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",#17,Jeff Kinney,4.7 out of 5 stars,"6,443",Hardcover,$10.68 
Under the Dome: A Novel,#18,Stephen King,4.4 out of 5 stars,"8,563",Hardcover,$29.50 
The Guernsey Literary and Potato Peel Pie Society,#19,Mary Ann Shaffer,4.7 out of 5 stars,"13,299",Paperback,$10.42 
Arguing with Idiots: How to Stop Small Minds and Big Government,#21,Glenn Beck,4.6 out of 5 stars,888,Hardcover,$10.93 
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,#20,David Zinczenko,4.5 out of 5 stars,881,Paperback,$10.28 
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",#22,Julia Child,4.8 out of 5 stars,"6,101",Hardcover,$24.63 
Sookie Stackhouse,#23,Charlaine Harris,4.7 out of 5 stars,989,Mass Market Paperback,
The Time Traveler's Wife,#24,Audrey Niffenegger,4.4 out of 5 stars,"5,167",Paperback,$13.90 
"Publication Manual of the American Psychological Association, 6th Edition",#25,American Psychological Association,4.5 out of 5 stars,"12,297",Paperback,$29.95 
The Girl with the Dragon Tattoo (Millennium Series),#27,Stieg Larsson,4.5 out of 5 stars,"13,937",Paperback,$10.48 
True Compass: A Memoir,#26,Edward M. Kennedy,4.5 out of 5 stars,489,Hardcover,$12.48 
Good to Great: Why Some Companies Make the Leap and Others Don't,#29,Jim Collins,4.5 out of 5 stars,"5,048",Hardcover,$14.49 
The 5000 Year Leap,#28,W. Cleon Skousen,4.8 out of 5 stars,"2,441",Paperback,$10.99 
Eclipse (Twilight Sagas),#30,Stephenie Meyer,4.7 out of 5 stars,"11,107",Paperback,$13.99 
Where the Wild Things Are,#31,Maurice Sendak,4.9 out of 5 stars,"29,231",Hardcover,$13.20 
The Five Dysfunctions of a Team: A Leadership Fable,#32,,4.6 out of 5 stars,"5,241",Hardcover,$18.60 
Olive Kitteridge,#33,Elizabeth Strout,4.3 out of 5 stars,"9,417",Paperback,$10.65 
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",#35,David Zinczenko,4.3 out of 5 stars,"1,135",Paperback,$14.04 
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),#34,Charlaine Harris,4.7 out of 5 stars,"2,490",Hardcover,$8.99 
The Tipping Point: How Little Things Can Make a Big Difference,#37,Malcolm Gladwell,4.4 out of 5 stars,"5,024",Paperback,$13.86 
