Title,Ranking_Seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
Steve Jobs: The Exclusive Biography,#1,Walter Isaacson,4.7 out of 5 stars,"10,899",Hardcover,$17.37
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,#2,Todd Burpo,4.7 out of 5 stars,"17,077",Paperback,$10.21
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",#3,Jeff Kinney,4.8 out of 5 stars,"9,363",Hardcover,$13.95
StrengthsFinder 2.0,#4,Tom Rath,4.1 out of 5 stars,"6,514",Hardcover,$20.88
The Hunger Games (Book 1),#5,Suzanne Collins,4.7 out of 5 stars,"39,780",Paperback,$11.69
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",#6,Laura Hillenbrand,4.8 out of 5 stars,"32,858",Hardcover,$15.04
Inheritance: Book IV (Inheritance Cycle),#7,Christopher Paolini,4.7 out of 5 stars,"8,135",Hardcover,$16.25
Go the F**k to Sleep,#8,Adam Mansbach,4.8 out of 5 stars,"18,466",Hardcover,$8.99
Mockingjay (The Hunger Games),#9,Suzanne Collins,4.6 out of 5 stars,"34,458",Hardcover,$8.99
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,#10,George R.R. Martin,4.6 out of 5 stars,"6,234",Mass Market Paperback,
Catching Fire (The Hunger Games),#11,Suzanne Collins,4.7 out of 5 stars,"30,038",Hardcover,$10.73
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,#12,,4.3 out of 5 stars,"2,991",Hardcover,$18.99
A Dance with Dragons (A Song of Ice and Fire),#13,George R. R. Martin,4.5 out of 5 stars,"16,310",Hardcover,$16.59
"The Son of Neptune (Heroes of Olympus, Book 2)",#14,Rick Riordan,4.8 out of 5 stars,"9,539",Hardcover,$9.99
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),#15,Bill O'Reilly,4.7 out of 5 stars,"10,656",Hardcover,$15.00
"Publication Manual of the American Psychological Association, 6th Edition",#16,American Psychological Association,4.5 out of 5 stars,"12,298",Paperback,$29.95
The Help,#17,Kathryn Stockett,4.8 out of 5 stars,"16,751",Paperback,$9.71
The Immortal Life of Henrietta Lacks,#18,Rebecca Skloot,4.7 out of 5 stars,"15,998",Paperback,$12.10
11/22/63: A Novel,#19,Stephen King,4.7 out of 5 stars,"2,877",Hardcover,$17.30
The Official SAT Study Guide,#20,,4.4 out of 5 stars,"1,492",Paperback,$46.99
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),#21,Sarah Young,4.9 out of 5 stars,"32,054",Hardcover,$7.53
The Hunger Games Trilogy Boxed Set (1),#22,Suzanne Collins,4.8 out of 5 stars,"25,163",Hardcover,$49.99
Tina Fey: Bossypants,#24,Tina Fey,4.3 out of 5 stars,"7,755",Hardcover,$10.88
Cutting for Stone,#23,Abraham Verghese,4.6 out of 5 stars,"6,349",Paperback,$12.40
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",#25,Timothy Ferriss,4.4 out of 5 stars,"6,318",Hardcover,$15.92
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",#26,,4.5 out of 5 stars,"6,896",Hardcover,$18.96
