Title,Ranking_seller,Author,Number_of_stars,Ratings,BookCover_Type,Price
Wonder,#1,R. J. Palacio,4.8 out of 5 stars,"33,368",Hardcover,$9.67
Milk and Honey,#2,Rupi Kaur,4.7 out of 5 stars,"40,893",Paperback,$7.38
Giraffes Can't Dance,#3,Giles Andreae,4.8 out of 5 stars,"27,759",Board book,$6.28
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,#4,Mark Manson,4.6 out of 5 stars,"64,614",Hardcover,$13.76
The Getaway,#5,Jeff Kinney,4.8 out of 5 stars,"14,312",Hardcover,$10.16
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,#6,Laurel Randolph,4.4 out of 5 stars,"12,097",Paperback,$8.97
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,#7,J. D. Vance,4.5 out of 5 stars,"27,813",Hardcover,$13.99
Astrophysics for People in a Hurry,#8,Neil deGrasse Tyson,4.7 out of 5 stars,"18,670",Hardcover,$9.49
First 100 Words: A Padded Board Book,#9,Roger Priddy,4.7 out of 5 stars,"32,591",Board book,$4.78
The Whole30: The 30-Day Guide to Total Health and Food Freedom,#10,Melissa Hartwig Urban,4.6 out of 5 stars,"14,621",Hardcover,$14.68
The Handmaid's Tale,#11,Margaret Atwood,4.4 out of 5 stars,"52,626",Paperback,$7.99
The 5 Love Languages: The Secret to Love that Lasts,#12,Gary Chapman,4.8 out of 5 stars,"62,780",Paperback,$7.57
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,#13,Jen Sincero,4.7 out of 5 stars,"33,083",Paperback,$8.45
What Happened,#14,Hillary Rodham Clinton,4.6 out of 5 stars,"6,720",Hardcover,$15.18
"Oh, the Places You'll Go!  ",#15,Dr. Seuss,4.9 out of 5 stars,"35,464",Hardcover,$8.98
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,#16,,4.8 out of 5 stars,"26,142",Hardcover,
1984,#17,George Orwell,4.7 out of 5 stars,"60,807",Mass Market Paperback,$7.48
How to Win Friends & Influence People,#18,Dale Carnegie,4.7 out of 5 stars,"61,790",Paperback,$10.99
Origin: A Novel (Robert Langdon),#19,Dan Brown,4.4 out of 5 stars,"30,795",Hardcover,$15.90
A Man Called Ove: A Novel,#20,Fredrik Backman,4.6 out of 5 stars,"45,063",Paperback,$7.63
The Sun and Her Flowers,#21,Rupi Kaur,4.8 out of 5 stars,"15,042",Paperback,$9.00
Dear Zoo: A Lift-the-Flap Book,#22,,4.8 out of 5 stars,"22,701",Hardcover,$5.00
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),#23,Don Miguel Ruiz,4.7 out of 5 stars,"76,316",Paperback,$7.74
The Going-To-Bed Book,#24,Sandra Boynton,4.8 out of 5 stars,"13,666",Board book,$3.59
The Wonderful Things You Will Be,#26,Emily Winfield Martin,4.9 out of 5 stars,"21,115",Hardcover,$8.55
StrengthsFinder 2.0,#25,Tom Rath,4.1 out of 5 stars,"6,516",Hardcover,$20.88
The Shack: Where Tragedy Confronts Eternity,#27,William P. Young,4.7 out of 5 stars,"22,655",Paperback,$10.43
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,#28,,4.5 out of 5 stars,"27,139",Hardcover,$8.58
"Option B: Facing Adversity, Building Resilience, and Finding Joy",#29,Sheryl Sandberg,4.5 out of 5 stars,"2,849",Hardcover,$13.51
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),#30,,4.6 out of 5 stars,"14,118",Hardcover,$26.00
A Gentleman in Moscow: A Novel,#31,Amor Towles,4.6 out of 5 stars,"41,617",Hardcover,$14.76
"Publication Manual of the American Psychological Association, 6th Edition",#32,American Psychological Association,4.5 out of 5 stars,"12,299",Paperback,$29.95
Goodnight Moon,#33,Margaret Wise Brown,4.9 out of 5 stars,"22,252",Board book,$5.36
Thirteen Reasons Why,#34,Jay Asher,4.5 out of 5 stars,"12,521",Paperback,$8.39
Leonardo da Vinci,#35,Walter Isaacson,4.6 out of 5 stars,"5,721",Hardcover,$19.91
The Pout-Pout Fish,#36,Deborah Diesen,4.9 out of 5 stars,"21,813",Board book,$5.00
Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (3),#37,,4.9 out of 5 stars,"8,433",Hardcover,$20.19
If Animals Kissed Good Night,#38,Ann Whitford Paul,4.8 out of 5 stars,"63,993",Board book,$4.14
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",#51,,4.8 out of 5 stars,"22,485",Paperback,$9.48
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",#52,Lysa TerKeurst,4.7 out of 5 stars,"9,020",Paperback,$8.47
Big Little Lies,#53,Liane Moriarty,4.6 out of 5 stars,"29,446",Paperback,$9.94
The Official SAT Study Guide,#54,The College Board,4.5 out of 5 stars,"2,173",Paperback,
The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,#55,Melissa Hartwig Urban,4.6 out of 5 stars,"2,604",Hardcover,$14.00
"Thinking, Fast and Slow",#56,Daniel Kahneman,4.6 out of 5 stars,"23,778",Paperback,$11.29
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),#57,Sarah Young,4.9 out of 5 stars,"32,054",Hardcover,$7.53
What to Expect When You're Expecting,#58,Heidi Murkoff,4.8 out of 5 stars,"27,108",Paperback,$12.70
The Glass Castle: A Memoir,#59,Jeannette Walls,4.6 out of 5 stars,"17,129",Paperback,$7.09
The Great Gatsby: The Only Authorized Edition,#60,F. Scott Fitzgerald,4.5 out of 5 stars,"15,522",Paperback,$8.00
The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,#61,Oprah Winfrey,4.7 out of 5 stars,"2,329",Hardcover,$12.49
P is for Potty! (Sesame Street) (Lift-the-Flap),#62,,4.7 out of 5 stars,"25,722",Board book,$5.72
The Rooster Bar,#63,John Grisham,4.2 out of 5 stars,"13,900",Hardcover,$11.74
The Giving Tree,#64,Shel Silverstein,4.9 out of 5 stars,"24,662",Hardcover,$9.05
She Persisted: 13 American Women Who Changed the World,#65,Chelsea Clinton,4.8 out of 5 stars,"3,106",Hardcover,$10.40
On Tyranny: Twenty Lessons from the Twentieth Century,#66,Timothy Snyder,4.7 out of 5 stars,"18,168",Paperback,$6.38
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",#67,Paulo Coelho,4.7 out of 5 stars,"71,921",Paperback,$8.89
Fahrenheit 451,#68,Ray Bradbury,4.6 out of 5 stars,"27,105",Paperback,$8.29
Camino Island: A Novel,#69,John Grisham,4.3 out of 5 stars,"21,707",Hardcover,$11.35
Turtles All the Way Down,#70,John Green,4.6 out of 5 stars,"9,582",Hardcover,$9.98
"The Pioneer Woman Cooks―Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives",#73,Ree Drummond,4.8 out of 5 stars,"4,499",Hardcover,$16.89
Love You Forever,#72,,4.9 out of 5 stars,"46,665",Paperback,$4.98
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,#71,Brené Brown,4.7 out of 5 stars,"26,792",Paperback,$8.47
Mindset: The New Psychology of Success,#74,Carol S. Dweck,4.6 out of 5 stars,"12,355",Paperback,$8.55
Where Is Baby's Belly Button? A Lift-the-Flap Book,#75,Karen Katz,4.8 out of 5 stars,"11,048",Board book,$4.98
Grant,#76,Ron Chernow,4.8 out of 5 stars,"8,001",Hardcover,$20.06
Sapiens: A Brief History of Humankind,#78,Yuval Noah Harari,4.6 out of 5 stars,"53,809",Hardcover,$24.18
"Lunt Solar Systems Junior Size Premium CE & ISO Certified Eclipse Glasses, Pack of 4",#77,,4.6 out of 5 stars,822,,$9.45
The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,#79,Benjamin Graham,4.7 out of 5 stars,"30,890",Paperback,$14.29
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",#80,,4.4 out of 5 stars,"13,055",Hardcover,$13.90
"The Trials of Apollo Book Two The Dark Prophecy (Trials of Apollo, 2)",#81,Rick Riordan,4.8 out of 5 stars,"7,462",Hardcover,$11.99
"Everything, Everything",#82,Nicola Yoon,4.7 out of 5 stars,"6,371",Paperback,$8.75
Start with Why: How Great Leaders Inspire Everyone to Take Action,#83,Simon Sinek,4.6 out of 5 stars,"20,952",Paperback,$15.30
Norse Mythology,#84,Neil Gaiman,4.7 out of 5 stars,"14,426",Hardcover,$16.41
Beneath a Scarlet Sky: A Novel,#85,Mark Sullivan,4.7 out of 5 stars,"59,532",Paperback,$14.08
Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),#86,Dav Pilkey,4.9 out of 5 stars,"14,935",Hardcover,$6.98
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",#88,J.K. Rowling,4.9 out of 5 stars,"19,807",Hardcover,$23.22
"Magnus Chase and the Gods of Asgard, Book 3 The Ship of the Dead (Magnus Chase and the Gods of Asgard, Book 3) (Magnus Chase and the Gods of Asgard, 3)",#89,Rick Riordan,4.8 out of 5 stars,"5,997",Hardcover,$10.40
Lilac Girls: A Novel (Woolsey-Ferriday),#87,Martha Hall Kelly,4.6 out of 5 stars,"13,817",Paperback,$10.05
Principles: Life and Work,#91,Ray Dalio,4.6 out of 5 stars,"10,290",Hardcover,$16.29
"Al Franken, Giant of the Senate",#90,Al Franken,4.7 out of 5 stars,"3,826",Hardcover,$11.30
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",#92,Brené Brown,4.8 out of 5 stars,"10,743",Paperback,$11.18
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,#93,Amy Ramos,4.3 out of 5 stars,"26,722",Paperback,$6.98
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,#94,,4.7 out of 5 stars,"4,923",Paperback,
10-Day Green Smoothie Cleanse,#95,JJ Smith,4.7 out of 5 stars,"31,159",Paperback,$9.91
