Title,Ranking_selller,Author,Number_of_stars,Ratings,BookCover_Type,Price
Becoming,#1,Michelle Obama,4.8 out of 5 stars,"118,871",Hardcover,$21.26
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",#2,Rachel Hollis,4.6 out of 5 stars,"26,795",Hardcover,$18.15
The Wonky Donkey,#3,Craig Smith,4.8 out of 5 stars,"68,332",Paperback,$5.28
Fire and Fury: Inside the Trump White House,#4,Michael Wolff,4.2 out of 5 stars,"16,845",Hardcover,$10.12
Fear: Trump in the White House,#5,Bob Woodward,4.5 out of 5 stars,"9,912",Hardcover,$14.05
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)",#6,Jill Twiss,4.9 out of 5 stars,"14,787",Hardcover,$10.54
12 Rules for Life: An Antidote to Chaos,#7,Jordan B. Peterson,4.8 out of 5 stars,"47,973",Hardcover,$14.99
Magnolia Table,#8,Joanna Gaines,4.8 out of 5 stars,"29,731",Hardcover,$16.59
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,#9,The Staff of The Late Show with Stephen Colbert,4.6 out of 5 stars,"9,752",Hardcover,$9.85
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,#10,Mark Manson,4.6 out of 5 stars,"64,614",Hardcover,$13.76
"A Higher Loyalty: Truth, Lies, and Leadership",#11,James Comey,4.7 out of 5 stars,"8,130",Hardcover,$5.35
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,#12,Amy Ramos,4.3 out of 5 stars,"26,722",Paperback,$6.98
Diary of a Wimpy Kid #13: Meltdown,#13,Jeff Kinney,4.8 out of 5 stars,"17,168",Hardcover,$8.16
The 5 Love Languages: The Secret to Love that Lasts,#14,Gary Chapman,4.8 out of 5 stars,"62,783",Paperback,$7.57
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),#16,Dav Pilkey,4.9 out of 5 stars,"14,177",Hardcover,$1.65
First 100 Words: A Padded Board Book,#15,Roger Priddy,4.7 out of 5 stars,"32,592",Board book,$4.78
Educated: A Memoir,#17,Tara Westover,4.7 out of 5 stars,"61,312",Hardcover,$13.00
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,#18,Jen Sincero,4.7 out of 5 stars,"33,083",Paperback,$8.45
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",#19,,4.4 out of 5 stars,"13,055",Hardcover,$13.90
Giraffes Can't Dance,#20,Giles Andreae,4.8 out of 5 stars,"27,759",Board book,$6.28
D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),#21,,4.9 out of 5 stars,"40,319",Hardcover,$27.93
Homebody: A Guide to Creating Spaces You Never Want to Leave,#22,Joanna Gaines,4.8 out of 5 stars,"10,175",Hardcover,$21.00
The Very Hungry Caterpillar,#23,Eric Carle,4.9 out of 5 stars,"47,575",Board book,$5.06
Crazy Rich Asians (Crazy Rich Asians Trilogy),#24,Kevin Kwan,4.4 out of 5 stars,"10,271",Paperback,$14.12
The Hate U Give,#25,Angie Thomas,4.8 out of 5 stars,"22,621",Hardcover,$12.98
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,#26,Laurel Randolph,4.4 out of 5 stars,"12,097",Paperback,$8.97
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),#27,Don Miguel Ruiz,4.7 out of 5 stars,"76,316",Paperback,$7.74
The Wonderful Things You Will Be,#28,Emily Winfield Martin,4.9 out of 5 stars,"21,115",Hardcover,$8.55
P is for Potty! (Sesame Street) (Lift-the-Flap),#29,,4.7 out of 5 stars,"25,723",Board book,$5.72
The Pout-Pout Fish,#30,Deborah Diesen,4.9 out of 5 stars,"21,813",Board book,$5.00
